主题,未涉及(0),积极(1),中性(2),消极(3)
区位,995,1788,610,125
餐饮,2795,365,317,41
房间设施,165,1924,795,634
娱乐设施,3248,149,110,11
店内设施,1970,770,674,104
服务,1498,1653,156,211
风格化,2845,587,65,21
安全,3117,328,20,53
卫生,1727,1307,134,350
价格,2612,576,211,119
